date,Peak Demand (MW)
2018-11-01,40017
2018-11-02,37895
2018-11-03,36437
2018-11-04,36793
2018-11-05,43278
2018-11-06,45396
2018-11-07,45930
2018-11-08,45281
2018-11-09,40967
2018-11-10,42466
2018-11-11,42169
2018-11-12,45681
2018-11-13,52121
2018-11-14,56223
2018-11-15,52474
2018-11-16,45474
2018-11-17,37968
2018-11-18,39034
2018-11-19,43472
2018-11-20,44135
2018-11-21,44421
2018-11-22,40485
2018-11-23,35033
2018-11-24,35606
2018-11-25,36256
2018-11-26,46353
2018-11-27,49136
2018-11-28,43413
2018-11-29,39311
2018-11-30,39513
2018-12-01,40510
2018-12-02,37474
2018-12-03,39570
2018-12-04,46148
2018-12-05,47364
2018-12-06,43949
2018-12-07,43678
2018-12-08,45251
2018-12-09,47044
2018-12-10,51917
2018-12-11,51237
2018-12-12,43934
2018-12-13,41362
2018-12-14,46859
2018-12-15,46308
2018-12-16,42625
2018-12-17,43131
2018-12-18,45038
2018-12-19,41136
2018-12-20,42034
2018-12-21,46106
2018-12-22,40159
2018-12-23,37215
2018-12-24,41061
2018-12-25,37393
2018-12-26,37861
2018-12-27,39435
2018-12-28,43335
2018-12-29,44643
2018-12-30,45699
2018-12-31,45446
2019-01-01,42199
2019-01-02,51492
2019-01-03,53301
2019-01-04,50168
2019-01-05,43916
2019-01-06,37353
2019-01-07,37356
2019-01-08,39384
2019-01-09,40611
2019-01-10,43366
2019-01-11,41880
2019-01-12,40849
2019-01-13,42972
2019-01-14,49123
2019-01-15,47055
2019-01-16,45578
2019-01-17,41210
2019-01-18,41186
2019-01-19,44507
2019-01-20,49279
2019-01-21,48959
2019-01-22,41805
2019-01-23,51768
2019-01-24,54656
2019-01-25,50399
2019-01-26,42546
2019-01-27,40318
2019-01-28,44415
2019-01-29,51757
2019-01-30,49899
2019-01-31,46255
2019-02-01,42094
2019-02-02,37939
2019-02-03,36434
2019-02-04,38820
2019-02-05,40510
2019-02-06,40621
2019-02-07,41668
2019-02-08,53708
2019-02-09,53628
2019-02-10,50327
2019-02-11,43977
2019-02-12,42414
2019-02-13,49542
2019-02-14,41534
2019-02-15,38597
2019-02-16,41917
2019-02-17,41034
2019-02-18,45995
2019-02-19,47762
2019-02-20,49455
2019-02-21,43487
2019-02-22,43850
2019-02-23,40601
2019-02-24,38656
2019-02-25,44625
2019-02-26,40394
2019-02-27,39739
2019-02-28,46485
2019-03-01,47874
2019-03-02,41874
2019-03-03,44371
2019-03-04,58715
2019-03-05,60645
2019-03-06,56212
2019-03-07,44405
2019-03-08,39493
2019-03-09,40117
2019-03-10,39329
2019-03-11,40468
2019-03-12,40330
2019-03-13,39878
2019-03-14,39905
2019-03-15,39591
2019-03-16,39453
2019-03-17,37678
2019-03-18,41713
2019-03-19,39766
2019-03-20,38229
2019-03-21,38462
2019-03-22,38367
2019-03-23,37493
2019-03-24,39969
2019-03-25,42920
2019-03-26,42476
2019-03-27,39863
2019-03-28,39846
2019-03-29,40009
2019-03-30,39106
2019-03-31,39003
2019-04-01,43556
2019-04-02,44370
2019-04-03,38053
2019-04-04,44266
2019-04-05,43972
2019-04-06,42245
2019-04-07,39295
2019-04-08,45601
2019-04-09,50688
2019-04-10,51636
2019-04-11,50535
2019-04-12,41232
2019-04-13,39933
2019-04-14,38303
2019-04-15,41882
2019-04-16,42992
2019-04-17,45305
2019-04-18,44963
2019-04-19,39124
2019-04-20,39860
2019-04-21,41577
2019-04-22,45065
2019-04-23,43970
2019-04-24,41938
2019-04-25,47602
